run_date,code,name,alias,action,reason,confidence,sources,seen_count
2026-08-12,1301,極洋,極洋,skip,duplicate,high,"kabutan,nikkei",7
2026-08-12,130A,Veritas In Silico,VIS,skip,duplicate,high,tdnet,8
2026-08-12,130A,Veritas In Silico,Veritas In Silico,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,130A,Veritas In Silico,ウェリタス,skip,duplicate,high,kabutan,3
2026-08-12,1332,ニッスイ,ニッスイ,skip,duplicate,high,"kabutan,nikkei",8
2026-08-12,1333,Umios,Umios,skip,duplicate,high,"kabutan,nikkei,tdnet",15
2026-08-12,135A,VRAIN Solution,VRAIN,skip,duplicate,high,tdnet,7
2026-08-12,135A,VRAIN Solution,VRAIN Solution,skip,duplicate,high,"kabutan,nikkei",6
2026-08-12,135A,VRAIN Solution,ヴレインS,skip,duplicate,high,kabutan,3
2026-08-12,1375,ユキグニファクトリー,ユキグニファクトリー,skip,duplicate,high,"kabutan,nikkei,tdnet",16
2026-08-12,1375,ユキグニファクトリー,ユキグニ,skip,duplicate,high,kabutan,3
2026-08-12,1376,カネコ種苗,カネコ種苗,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,1376,カネコ種苗,カネコ種,skip,duplicate,high,kabutan,3
2026-08-12,1377,サカタのタネ,サカタのタネ,skip,duplicate,high,"kabutan,nikkei,tdnet",11
2026-08-12,1377,サカタのタネ,サカタタネ,skip,duplicate,high,kabutan,3
2026-08-12,1379,ホクト,ホクト,skip,duplicate,high,"kabutan,nikkei,tdnet",9
2026-08-12,137A,Cocolive,Cocolive,skip,duplicate,high,"kabutan,nikkei,tdnet",12
2026-08-12,137A,Cocolive,ココリブ,skip,duplicate,high,kabutan,3
2026-08-12,1380,秋川牧園,秋川牧園,skip,duplicate,high,"kabutan,nikkei",10
2026-08-12,1381,アクシーズ,アクシーズ,skip,duplicate,high,"kabutan,nikkei,tdnet",8
2026-08-12,1382,ホーブ,ホーブ,skip,duplicate,high,"kabutan,nikkei,tdnet",13
2026-08-12,1383,ベルグアース,ベルグアース,skip,duplicate,high,"kabutan,nikkei",9
